left_component_id,right_component_id,left_strategy,right_strategy,correlation
FACTORY-3649fae5bc1b7b74,FACTORY-84018bc09d7b34aa,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 45d 375bps,0.80081969
FACTORY-3649fae5bc1b7b74,FACTORY-8c126ce3235c7b20,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 45d 500bps,0.80069063
FACTORY-d5a39d7a88bc24cf,FACTORY-8f5d4e1caeb5c929,Factory Mean Reversion 20d 100bps,Factory Mean Reversion 20d 100bps,0.80027373
FACTORY-8226fabb047803a9,FACTORY-80a6a5b9f8587535,Factory Dollar-Bar Microstructure 90d 375bps,Factory Dollar-Bar Microstructure 180d 500bps,0.80022593
FACTORY-5ac7948ae3836df9,FACTORY-fcc65b33bba2a984,Factory PEAD 45d 375bps,Factory PEAD 90d 100bps,0.79999053
FACTORY-8226fabb047803a9,FACTORY-6965d33db9c8fb5b,Factory Dollar-Bar Microstructure 90d 375bps,Factory Dollar-Bar Microstructure 180d 375bps,0.79939528
FACTORY-3b82ee277a85c752,FACTORY-9883de58e44f5ae7,Factory 13D Activist Follow-On 90d 100bps,Factory 13D Activist Follow-On 180d 500bps,0.7992324
FACTORY-25beb93c5b115751,FACTORY-0574d7be5b9a847c,Factory 13D Activist Follow-On 90d 375bps,Factory 13D Activist Follow-On 180d 375bps,0.79914596
FACTORY-30088dc93bd4a178,FACTORY-2fdf6c07a3bcb68d,Factory Form 4 Cluster Buying 45d 100bps,Factory Form 4 Cluster Buying 90d 100bps,0.79873844
FACTORY-8c83bf25f1c86fc7,FACTORY-8c7853c5ae904d13,Factory PEAD 45d 500bps,Factory PEAD 90d 375bps,0.79863589
FACTORY-25beb93c5b115751,FACTORY-9883de58e44f5ae7,Factory 13D Activist Follow-On 90d 375bps,Factory 13D Activist Follow-On 180d 500bps,0.7979575
FACTORY-941cc6d3fdd9affc,FACTORY-778a7498ad44efbb,Factory 13D Activist Follow-On 90d 500bps,Factory 13D Activist Follow-On 180d 100bps,0.79776563
FACTORY-51163fa9f51e78ce,FACTORY-187d8d55eeef6a10,Factory Form 4 Cluster Buying 45d 375bps,Factory Form 4 Cluster Buying 90d 500bps,0.79733744
FACTORY-8226fabb047803a9,FACTORY-119d99f730b677f6,Factory Dollar-Bar Microstructure 90d 375bps,Factory Dollar-Bar Microstructure 180d 100bps,0.79711646
FACTORY-941cc6d3fdd9affc,FACTORY-0574d7be5b9a847c,Factory 13D Activist Follow-On 90d 500bps,Factory 13D Activist Follow-On 180d 375bps,0.79700157
FACTORY-2860db9797152544,FACTORY-80a6a5b9f8587535,Factory Dollar-Bar Microstructure 90d 500bps,Factory Dollar-Bar Microstructure 180d 500bps,0.79697396
FACTORY-dc41e4a737562d2c,FACTORY-fab94445f0b51fdf,Factory Mean Reversion 90d 500bps,Factory Mean Reversion 180d 100bps,0.79673808
FACTORY-941cc6d3fdd9affc,FACTORY-9883de58e44f5ae7,Factory 13D Activist Follow-On 90d 500bps,Factory 13D Activist Follow-On 180d 500bps,0.79627452
FACTORY-3e07023d857a2656,FACTORY-1cbd0d3c3b95022d,Factory Regime Filter 20d 375bps,Factory Regime Filter 45d 375bps,0.79621753
FACTORY-2860db9797152544,FACTORY-6965d33db9c8fb5b,Factory Dollar-Bar Microstructure 90d 500bps,Factory Dollar-Bar Microstructure 180d 375bps,0.79589086
FACTORY-b0100b2bcad2ded2,FACTORY-214e36d619e8364b,Factory Mean Reversion 20d 375bps,Factory Mean Reversion 20d 500bps,0.79447836
FACTORY-45ebfdbb131f6cbd,FACTORY-1cb350f28a1d4597,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 180d 500bps,0.79435234
FACTORY-036709cbb90245e8,FACTORY-1cb350f28a1d4597,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 180d 500bps,0.79433218
FACTORY-45ebfdbb131f6cbd,FACTORY-fce8300bed43d2aa,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 180d 375bps,0.79412788
FACTORY-51163fa9f51e78ce,FACTORY-f3a11def315430dd,Factory Form 4 Cluster Buying 45d 375bps,Factory Form 4 Cluster Buying 90d 375bps,0.79412471
FACTORY-036709cbb90245e8,FACTORY-fce8300bed43d2aa,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 180d 375bps,0.7940949
FACTORY-45ebfdbb131f6cbd,FACTORY-b156c56670aac97e,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 180d 100bps,0.79357327
FACTORY-036709cbb90245e8,FACTORY-b156c56670aac97e,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 180d 100bps,0.7935123
FACTORY-2860db9797152544,FACTORY-119d99f730b677f6,Factory Dollar-Bar Microstructure 90d 500bps,Factory Dollar-Bar Microstructure 180d 100bps,0.79306747
FACTORY-2306e8d8b69f7be8,FACTORY-1cb350f28a1d4597,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 180d 500bps,0.79297252
FACTORY-2306e8d8b69f7be8,FACTORY-fce8300bed43d2aa,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 180d 375bps,0.7927764
FACTORY-6ad3e5a321c70687,FACTORY-187d8d55eeef6a10,Factory Form 4 Cluster Buying 45d 500bps,Factory Form 4 Cluster Buying 90d 500bps,0.79247066
FACTORY-2306e8d8b69f7be8,FACTORY-b156c56670aac97e,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 180d 100bps,0.79228375
FACTORY-8c83bf25f1c86fc7,FACTORY-fcc65b33bba2a984,Factory PEAD 45d 500bps,Factory PEAD 90d 100bps,0.79106283
FACTORY-d90f9f26691681b5,FACTORY-9424b27321e327f5,Factory Regime Filter 20d 500bps,Factory Regime Filter 45d 500bps,0.79014985
FACTORY-d2621bbbf56dff40,FACTORY-e18fa0f3988ad341,Factory Momentum 20d 375bps,Factory Momentum 45d 500bps,0.78934207
FACTORY-b0100b2bcad2ded2,FACTORY-8f5d4e1caeb5c929,Factory Mean Reversion 20d 375bps,Factory Mean Reversion 20d 100bps,0.78871395
FACTORY-6ad3e5a321c70687,FACTORY-f3a11def315430dd,Factory Form 4 Cluster Buying 45d 500bps,Factory Form 4 Cluster Buying 90d 375bps,0.78849166
FACTORY-51163fa9f51e78ce,FACTORY-2fdf6c07a3bcb68d,Factory Form 4 Cluster Buying 45d 375bps,Factory Form 4 Cluster Buying 90d 100bps,0.78534764
FACTORY-d2621bbbf56dff40,FACTORY-e608af4f07ff28c5,Factory Momentum 20d 375bps,Factory Momentum 45d 375bps,0.7831939
FACTORY-582e3b9b11091a1b,FACTORY-d6e26b4dde83c8b0,Factory PEAD 20d 100bps,Factory PEAD 45d 100bps,0.78302897
FACTORY-e608af4f07ff28c5,FACTORY-1cb350f28a1d4597,Factory Momentum 45d 375bps,Factory PDUFA Run-Up 180d 500bps,0.78237469
FACTORY-582e3b9b11091a1b,FACTORY-5ac7948ae3836df9,Factory PEAD 20d 100bps,Factory PEAD 45d 375bps,0.78207854
FACTORY-e608af4f07ff28c5,FACTORY-fce8300bed43d2aa,Factory Momentum 45d 375bps,Factory PDUFA Run-Up 180d 375bps,0.7820065
FACTORY-e18fa0f3988ad341,FACTORY-1cb350f28a1d4597,Factory Momentum 45d 500bps,Factory PDUFA Run-Up 180d 500bps,0.78161914
FACTORY-e18fa0f3988ad341,FACTORY-fce8300bed43d2aa,Factory Momentum 45d 500bps,Factory PDUFA Run-Up 180d 375bps,0.78121214
FACTORY-e608af4f07ff28c5,FACTORY-b156c56670aac97e,Factory Momentum 45d 375bps,Factory PDUFA Run-Up 180d 100bps,0.78113914
FACTORY-582e3b9b11091a1b,FACTORY-8c83bf25f1c86fc7,Factory PEAD 20d 100bps,Factory PEAD 45d 500bps,0.78039338
FACTORY-3649fae5bc1b7b74,FACTORY-1cb350f28a1d4597,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 180d 500bps,0.7802716
FACTORY-e18fa0f3988ad341,FACTORY-b156c56670aac97e,Factory Momentum 45d 500bps,Factory PDUFA Run-Up 180d 100bps,0.7802601
FACTORY-3649fae5bc1b7b74,FACTORY-fce8300bed43d2aa,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 180d 375bps,0.77998913
FACTORY-3649fae5bc1b7b74,FACTORY-b156c56670aac97e,Factory Momentum 45d 100bps,Factory PDUFA Run-Up 180d 100bps,0.77930904
FACTORY-03a53d17c324dec6,FACTORY-688a5013e817d0da,Factory Mean Reversion 5d 500bps,Factory Mean Reversion 5d 500bps,0.77901223
FACTORY-d90f9f26691681b5,FACTORY-1cbd0d3c3b95022d,Factory Regime Filter 20d 500bps,Factory Regime Filter 45d 375bps,0.77832861
FACTORY-6ad3e5a321c70687,FACTORY-2fdf6c07a3bcb68d,Factory Form 4 Cluster Buying 45d 500bps,Factory Form 4 Cluster Buying 90d 100bps,0.77806994
aeb3c97678fffc03,0dc08daefa67c12e,My falsifiable strategy,9:15,0.77550484
ef3f1ebb21d03d5c,0dc08daefa67c12e,My falsifiable strategy,9:15,0.77550484
0dc08daefa67c12e,ee5692c4832db94b,9:15,9:15,0.77550484
FACTORY-4365a19489b27c36,FACTORY-e18fa0f3988ad341,Factory Momentum 20d 500bps,Factory Momentum 45d 500bps,0.77398926
FACTORY-17d25540b5e54179,FACTORY-8f5d4e1caeb5c929,Factory Mean Reversion 20d 500bps,Factory Mean Reversion 20d 100bps,0.77324696
FACTORY-d5a39d7a88bc24cf,FACTORY-115ab24aa842c356,Factory Mean Reversion 20d 100bps,Factory Mean Reversion 20d 375bps,0.77309823
FACTORY-3e07023d857a2656,FACTORY-91da581313704e54,Factory Regime Filter 20d 375bps,Factory Regime Filter 45d 100bps,0.77208476
FACTORY-036709cbb90245e8,FACTORY-3a4646fedbd66e5c,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 90d 100bps,0.77167052
FACTORY-45ebfdbb131f6cbd,FACTORY-3a4646fedbd66e5c,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 90d 100bps,0.77131133
FACTORY-036709cbb90245e8,FACTORY-9e5b3dc1b0a6b383,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 90d 375bps,0.77093333
FACTORY-036709cbb90245e8,FACTORY-cd77d4a8eb310124,Factory Custom Rule Builder 45d 500bps,Factory PDUFA Run-Up 90d 500bps,0.77050187
FACTORY-45ebfdbb131f6cbd,FACTORY-9e5b3dc1b0a6b383,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 90d 375bps,0.77047077
FACTORY-45ebfdbb131f6cbd,FACTORY-cd77d4a8eb310124,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 90d 500bps,0.76999188
FACTORY-95688ad8c98521e1,FACTORY-8c83bf25f1c86fc7,Factory PEAD 20d 375bps,Factory PEAD 45d 500bps,0.76981607
FACTORY-2306e8d8b69f7be8,FACTORY-3a4646fedbd66e5c,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 90d 100bps,0.76914637
bcfc1ff3b7cf8a4a,dcfbeec9cf4c5190,My falsifiable strategy,strategia folle,0.76876822
FACTORY-2306e8d8b69f7be8,FACTORY-9e5b3dc1b0a6b383,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 90d 375bps,0.76808213
FACTORY-03a53d17c324dec6,FACTORY-e1db06c5156f7149,Factory Mean Reversion 5d 500bps,Factory Mean Reversion 5d 375bps,0.76785663
FACTORY-2306e8d8b69f7be8,FACTORY-cd77d4a8eb310124,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 90d 500bps,0.76750078
FACTORY-95688ad8c98521e1,FACTORY-5ac7948ae3836df9,Factory PEAD 20d 375bps,Factory PEAD 45d 375bps,0.76636846
