fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.01685115312078591,-0.44250347900204695,0.425652325881261,-0.02864080453197774,-0.7164402993136172,0.6262916758338649,0.2811688311688312,True,130,110,10,48
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.005512065883929114,-0.44250347900204695,0.43699141311811784,-0.013226483939043032,-0.3256757494270737,0.7702563348858035,0.4126984126984126,True,37,27,8,16
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.0027136449530917447,-0.44250347900204695,0.4397898340489553,-0.004704484532312081,-0.4827415989186868,0.0,0.5,True,10,7,5,5
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,-0.01988190323519302,-0.44250347900204695,0.42262157576685394,-0.03507256752556441,-0.7213303944029168,0.6160068818762972,0.28012820512820513,True,173,146,10,60
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,fast_1x_stop_2x_tp_5d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
