fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,test,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,True,0.0650450448404449,1.0141568816060988,-0.949111836765654,-0.032913550427375225,1.20815040554912,3.341689904092817,0.6294444444444445,False,787,761,10,163
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.07196349313424934,1.0141568816060988,-0.9421933884718499,-0.028545682566437924,1.3847380424092215,2.7256763085986635,0.6424016811507277,False,965,935,9,163
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.04886157174445864,1.0141568816060988,-0.9652953098616406,-0.026397395741311593,1.0541874204984059,3.5056793144228475,0.613338288531787,False,699,674,9,119
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.020042924028311333,1.0141568816060988,-0.9941139575777879,-0.018194177746267838,0.8506022792529414,2.267543506312858,0.6694444444444444,False,332,320,7,64
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,0.001953382762703753,1.0141568816060988,-1.0122034988433952,-0.007884276820720681,0.28710557269241704,1.1039818524974947,0.6666666666666666,False,64,62,3,19
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,logistic_regression,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.001014503384459429,1.0141568816060988,-1.0131423782216396,-0.003885637634981609,0.27428060104243107,1.6901707405005644,0.5714285714285714,False,24,23,1,7
