symbol,event_date,is_sec8k_event,pre_window_start,pre_window_end,pre_window_days,baseline_lookback_days,pre_window_return,pre_window_abs_return,pre_window_volume_ratio,provider_query_performed,market_data_downloaded,source
ARRY,2023-07-03,False,2023-06-26,2023-06-30,5,20,0.0884615385,0.0884615385,0.97539793,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-05,False,2023-06-27,2023-07-03,5,20,0.0946341463,0.0946341463,0.97539793,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-06,False,2023-06-28,2023-07-05,5,20,0.0,0.0,1.19708584,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-07,False,2023-06-29,2023-07-06,5,20,-0.0817464004,0.0817464004,1.39444145,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-10,False,2023-06-30,2023-07-07,5,20,-0.1201413428,0.1201413428,1.39444145,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-11,False,2023-07-03,2023-07-10,5,20,-0.1033868093,0.1033868093,1.19099206,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-12,False,2023-07-05,2023-07-11,5,20,-0.0401146132,0.0401146132,1.21397936,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-13,False,2023-07-06,2023-07-12,5,20,0.0207384927,0.0207384927,1.19189192,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-14,False,2023-07-07,2023-07-13,5,20,0.0391566265,0.0391566265,1.02142075,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-17,False,2023-07-10,2023-07-14,5,20,-0.0248508946,0.0248508946,0.93882436,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-18,False,2023-07-11,2023-07-17,5,20,0.0049751244,0.0049751244,1.02142075,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-19,False,2023-07-12,2023-07-18,5,20,-0.0237859267,0.0237859267,0.92477103,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-20,False,2023-07-13,2023-07-19,5,20,-0.0623188406,0.0623188406,0.92477103,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-21,False,2023-07-14,2023-07-20,5,20,-0.0214067278,0.0214067278,0.98485397,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-24,False,2023-07-17,2023-07-21,5,20,-0.0495049505,0.0495049505,1.01339741,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-25,False,2023-07-18,2023-07-24,5,20,-0.0340101523,0.0340101523,1.0086226,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-26,False,2023-07-19,2023-07-25,5,20,-0.0066975786,0.0066975786,1.02395019,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-27,False,2023-07-20,2023-07-26,5,20,-0.003125,0.003125,1.01946824,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-28,False,2023-07-21,2023-07-27,5,20,-0.0223958333,0.0223958333,1.0086226,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-07-31,False,2023-07-24,2023-07-28,5,20,-0.0015764582,0.0015764582,0.8948137,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-01,False,2023-07-25,2023-07-31,5,20,-0.0093360996,0.0093360996,0.82762896,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-02,False,2023-07-26,2023-08-01,5,20,-0.0208986416,0.0208986416,0.82762896,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-03,False,2023-07-27,2023-08-02,5,20,-0.0388918487,0.0388918487,0.89693434,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-04,False,2023-07-28,2023-08-03,5,20,-0.0521052632,0.0521052632,0.81327601,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-07,False,2023-07-31,2023-08-04,5,20,-0.0434554974,0.0434554974,0.81620915,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-08,False,2023-08-01,2023-08-07,5,20,-0.0592315902,0.0592315902,0.83800685,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-09,True,2023-08-02,2023-08-08,5,20,0.1474501109,0.1474501109,1.11705279,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-10,False,2023-08-03,2023-08-09,5,20,0.2326485286,0.2326485286,1.11705279,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-11,False,2023-08-04,2023-08-10,5,20,0.223316913,0.223316913,2.06414969,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-14,False,2023-08-07,2023-08-11,5,20,0.3442994895,0.3442994895,2.15593975,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-15,False,2023-08-08,2023-08-14,5,20,0.1173913043,0.1173913043,2.06414969,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-16,False,2023-08-09,2023-08-15,5,20,-0.0405405405,0.0405405405,1.39743599,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-17,False,2023-08-10,2023-08-16,5,20,-0.0693512304,0.0693512304,1.29295934,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2023-08-18,False,2023-08-11,2023-08-17,5,20,-0.1392405063,0.1392405063,1.16637714,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
