symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
AAOI,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,10.09,10.95,-0.3406593406593405,0.0852329038652131,0.05,0.035232903865213,0.1,0.0035232903865213,False,False,is,DRAWDOWN_STRESS,active,False
ACDC,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,5.14,4.77,-0.3307392996108949,-0.0719844357976654,0.05,-0.1219844357976654,0.1,-0.0121984435797665,False,False,is,DRAWDOWN_STRESS,active,False
CIVI-202601,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,22.805435,27.884956,-0.3066818540150841,0.2227329143250283,0.05,0.1727329143250283,0.1,0.0172732914325028,False,False,is,DRAWDOWN_STRESS,delisted,True
AAPX,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,15.119692,18.397943,-0.2669527265079522,0.2168199590309114,0.05,0.1668199590309114,0.1,0.0166819959030911,False,False,is,DRAWDOWN_STRESS,active,False
AAPB,mean_reversion_5d,2025-04-04,2025-04-07,2025-04-22,15.238862,18.832933,-0.2667478329533429,0.2358490417460308,0.05,0.1858490417460308,0.1,0.018584904174603,False,False,is,DRAWDOWN_STRESS,active,False
CFLT-202603,mean_reversion_5d,2025-05-05,2025-05-06,2025-05-20,19.52,21.84,-0.1801577418015774,0.1188524590163935,0.05,0.0688524590163935,0.1,0.0068852459016393,False,False,is,DRAWDOWN_STRESS,delisted,True
ABCL,mean_reversion_5d,2025-05-05,2025-05-06,2025-05-20,2.18,2.09,-0.1544401544401544,-0.0412844036697248,0.05,-0.0912844036697248,0.1,-0.0091284403669724,False,False,is,DRAWDOWN_STRESS,active,False
AD,mean_reversion_5d,2025-05-05,2025-05-06,2025-05-20,33.679676,35.514435,-0.1479695930453971,0.0544767414033318,0.05,0.0044767414033318,0.1,0.0004476741403331,False,False,is,DRAWDOWN_STRESS,active,False
ABR,mean_reversion_5d,2025-05-05,2025-05-06,2025-05-20,8.682012,8.840808,-0.1120764722206568,0.0182902304212433,0.05,-0.0317097695787566,0.1,-0.0031709769578756,False,False,is,DRAWDOWN_STRESS,active,False
AAPX,mean_reversion_5d,2025-05-05,2025-05-06,2025-05-20,17.960842,19.500628,-0.1103515915880373,0.0857301678841113,0.05,0.0357301678841113,0.1,0.0035730167884111,False,False,is,DRAWDOWN_STRESS,active,False
ABTC,momentum_60d,2025-06-03,2025-06-04,2025-07-03,5.5,6.5499997,3.786324786324786,0.1909090363636363,0.05,0.1409090363636363,0.1,0.0140909036363636,False,False,oos,TREND_UP_LOW_VOL,active,False
ADCT,momentum_60d,2025-06-03,2025-06-04,2025-07-03,3.53,2.85,0.951086956521739,-0.1926345609065155,0.05,-0.2426345609065155,0.1,-0.0242634560906515,False,False,oos,TREND_UP_LOW_VOL,active,False
ACOG,momentum_60d,2025-06-03,2025-06-04,2025-07-03,9.82,10.465,0.8436911487758945,0.0656822810590631,0.05,0.0156822810590631,0.1,0.0015682281059063,False,False,oos,TREND_UP_LOW_VOL,active,False
ACHR,mean_reversion_5d,2025-06-03,2025-06-04,2025-06-18,9.76,10.2,-0.1098901098901098,0.0450819672131146,0.05,-0.0049180327868853,0.1,-0.0004918032786885,False,False,oos,TREND_UP_LOW_VOL,active,False
AAOI,mean_reversion_5d,2025-06-03,2025-06-04,2025-06-18,17.43,19.77,-0.0969827586206895,0.1342512908777968,0.05,0.0842512908777968,0.1,0.0084251290877796,False,False,oos,TREND_UP_LOW_VOL,active,False
ABX,mean_reversion_5d,2025-06-03,2025-06-04,2025-06-18,7.305559,5.5107,-0.0591133023685153,-0.2456840058371987,0.05,-0.2956840058371987,0.1,-0.0295684005837198,False,False,oos,TREND_UP_LOW_VOL,active,False
